District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Thanh Xuan,20.9944171,105.8171316,Sheraton Hanoi Hotel,21.05989464,105.8316567,Hotel
Thanh Xuan,20.9944171,105.8171316,Bò tơ Tây Ninh,21.03613335,105.7700335,BBQ Joint
Thanh Xuan,20.9944171,105.8171316,King BBQ,20.99488838,105.868523,BBQ Joint
Thanh Xuan,20.9944171,105.8171316,UMA,21.01746659,105.7781872,Furniture and Home Store
Thanh Xuan,20.9944171,105.8171316,Starbucks Vincom Trần Duy Hưng,21.00703831,105.7957113,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,French Grill,21.00661723,105.782775,French Restaurant
Thanh Xuan,20.9944171,105.8171316,HC Home Center,21.068578,105.78565,Electronics Store
Thanh Xuan,20.9944171,105.8171316,Pizza Hut,21.00667904,105.7928586,Pizzeria
Thanh Xuan,20.9944171,105.8171316,Tous les Jours,21.00778475,105.792618,Bakery
Thanh Xuan,20.9944171,105.8171316,Aeon Mall,21.02690825,105.8979893,Shopping Mall
Thanh Xuan,20.9944171,105.8171316,DWok,21.01787869,105.7802303,Malay Restaurant
Thanh Xuan,20.9944171,105.8171316,Highlands Coffee,21.01475433,105.7769829,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,AEON Mart,21.02667348,105.899771,Market
Thanh Xuan,20.9944171,105.8171316,Super Amusement Dream Games,21.02664674,105.9004677,Bowling Alley
Thanh Xuan,20.9944171,105.8171316,CGV Cinemas Aeon Long Bien,21.02648052,105.9004487,Movie Theater
Thanh Xuan,20.9944171,105.8171316,Starbucks Times City,20.993705,105.867424,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,myway hotel,21.03173369,105.7819843,Hotel
Thanh Xuan,20.9944171,105.8171316,Crowne Plaza West Hanoi,21.02749946,105.7674441,Hotel
Thanh Xuan,20.9944171,105.8171316,Highlands Coffee Aeon Mall,21.02669268,105.8996361,Café
Thanh Xuan,20.9944171,105.8171316,Paris Baguette @ The Manor,21.01473448,105.7771216,Bakery
Thanh Xuan,20.9944171,105.8171316,Lackah,21.02755293,105.7672834,Buffet
Thanh Xuan,20.9944171,105.8171316,Sân Vận Động Quốc Gia Mỹ Đình (My Dinh National Stadium) (Sân Vận Động Quốc Gia Mỹ Đình),21.02043066,105.7638574,Stadium
Thanh Xuan,20.9944171,105.8171316,Tous les Jours,20.97213432,105.7773033,Bakery
Thanh Xuan,20.9944171,105.8171316,Meat Plus Mễ Trì,21.015652,105.778288,BBQ Joint
Thanh Xuan,20.9944171,105.8171316,Raffles Restaurant,21.01725757,105.7797888,Malay Restaurant
Thanh Xuan,20.9944171,105.8171316,Cellini Cafe,21.01451099,105.7773572,Café
Thanh Xuan,20.9944171,105.8171316,Metro Cash & Carry,21.05461205,105.7805986,Supermarket
Thanh Xuan,20.9944171,105.8171316,Starbucks (Starbucks Coffee The Garden),21.0146185,105.7772764,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,Platinum Cineplex,21.01530748,105.7778081,Movie Theater
Thanh Xuan,20.9944171,105.8171316,Ngon Phố Aeon Mall,21.0267511,105.899854,Food Court
Thanh Xuan,20.9944171,105.8171316,Vpresso Coffee,21.01569301,105.7761091,Café
Thanh Xuan,20.9944171,105.8171316,Bảo Tàng Đường Hồ Chí Minh (Ho Chi Minh Trail Museum),20.953912,105.748666,History Museum
Thanh Xuan,20.9944171,105.8171316,Huong Sen Restaurant,21.00622292,105.7818754,Restaurant
Thanh Xuan,20.9944171,105.8171316,The Garden Shopping Centre,21.01530303,105.7778435,Shopping Mall
Thanh Xuan,20.9944171,105.8171316,Aquaria Food Cultural Center,21.02110721,105.7679129,Café
Thanh Xuan,20.9944171,105.8171316,KFC,21.04676094,105.8780833,Fast Food Restaurant
Thanh Xuan,20.9944171,105.8171316,Thiên Đường Bảo Sơn,20.99866602,105.7332747,Amusement Park
Thanh Xuan,20.9944171,105.8171316,Popeyes. Louisiana Kitchen,21.026936,105.899579,Fast Food Restaurant
Thach That,21.0235566,105.5537358,Phở Cười,21.047953,105.58371,Vietnamese Restaurant
Thach That,21.0235566,105.5537358,Lẩu Cua Đồng Hoà Lạc - Cua Đồng Không Tên,20.97883276,105.5292657,Hotpot Restaurant
Thach That,21.0235566,105.5537358,King's Island Golf Club,21.06115293,105.4744782,Golf Course
Thach That,21.0235566,105.5537358,Chùa Thầy,21.02289241,105.6459957,Buddhist Temple
Thach That,21.0235566,105.5537358,Gà Ri Phú Bình 1 (Phu Binh 2),20.98122539,105.5266728,Fried Chicken Joint
Thach That,21.0235566,105.5537358,Sơn Tinh Camp,21.05419617,105.4830396,Campground
Thach That,21.0235566,105.5537358,Chùa Tây Phương,21.02551123,105.5870327,Temple
Thuong Tin,20.8719979,105.86414,Công Viên Yên Sở (Yen So Public Park),20.96074691,105.8576619,Park
Thuong Tin,20.8719979,105.86414,Ga Thường Tín,20.87109556,105.8645661,Rail Station
Thuong Tin,20.8719979,105.86414,Trạm Thu Phí Pháp Vân (hướng đi về Hà Nội),20.906903,105.861252,Toll Plaza
Thuong Tin,20.8719979,105.86414,Phà Chương Dương,20.8448425,105.9175091,Boat or Ferry
Ung Hoa,20.7110772,105.8143304,Bệnh Viện Đa Khoa Vân Đình,20.725538,105.7739,Bay
Ung Hoa,20.7110772,105.8143304,Vịt cỏ Vân Đình,20.72863562,105.7717473,Vietnamese Restaurant
Ung Hoa,20.7110772,105.8143304,Vịt Cỏ Uyển Linh VTV1,20.72839727,105.7710022,Restaurant
Ung Hoa,20.7110772,105.8143304,Vịt Doãn Thọ,20.73180997,105.7709391,Vietnamese Restaurant
Ung Hoa,20.7110772,105.8143304,Cơm bình dân,20.687748,105.746952,Restaurant
Dan Phuong,21.11962705,105.6784682,Lan Chi Mart,21.08570453,105.664087,Market
Dan Phuong,21.11962705,105.6784682,Tây Tựu,21.08317782,105.7447532,Flower Store
Dan Phuong,21.11962705,105.6784682,Lẩu Cua Sông H2T,21.11144639,105.7636544,Hotpot Restaurant
Dan Phuong,21.11962705,105.6784682,Trung Tâm Huấn Luyện Thể Thao Quốc Gia,21.0517978,105.731653,Stadium
Dong Anh,21.1547375,105.848701,Song Hong Business Lounge,21.21811058,105.7931697,Airport Lounge
Dong Anh,21.1547375,105.848701,Cousins,21.07018105,105.8228835,Modern European Restaurant
Dong Anh,21.1547375,105.848701,Gelato Italia - Italian Artisan Gelato,21.06855706,105.8242429,Ice Cream Parlor
Dong Anh,21.1547375,105.848701,El Gaucho Argentinian Steakhouse,21.06822111,105.8261144,Steakhouse
Dong Anh,21.1547375,105.848701,Sushi Dokoro,21.06812632,105.8259855,Sushi Restaurant
Dong Anh,21.1547375,105.848701,O'DOUCEURS French Pastry & Bakery Coffee House,21.070385,105.823232,Pastry Shop
Dong Anh,21.1547375,105.848701,ABC Coffee,21.07659573,105.8149721,Coffee Shop
Dong Anh,21.1547375,105.848701,ClickSpace Coworking + Spacebar Cafe,21.06902724,105.8227857,Café
Dong Anh,21.1547375,105.848701,Hanoi Rock City,21.06976942,105.8234937,Rock Club
Dong Anh,21.1547375,105.848701,Sen Tây Hồ,21.074335,105.815216,Pastry Shop
Dong Anh,21.1547375,105.848701,Thung lũng hoa hồ Tây,21.07381749,105.8201632,Garden
Dong Anh,21.1547375,105.848701,Phở 3 Chị Em,21.06884276,105.8241749,Noodle Restaurant
Dong Anh,21.1547375,105.848701,Bun Ca,21.06844782,105.8237465,Noodle Restaurant
Dong Anh,21.1547375,105.848701,Daluva Wine | Tapas | Events,21.06867919,105.8242891,Wine Bar
Dong Anh,21.1547375,105.848701,Starbucks,21.217435,105.795894,Coffee Shop
Dong Anh,21.1547375,105.848701,Starbucks,21.213825,105.80403,Coffee Shop
Dong Anh,21.1547375,105.848701,Công Viên Nườc Hồ Tây (Ho Tay Water Park),21.07448109,105.8162017,Water Park
Dong Anh,21.1547375,105.848701,The Oasis Grocery Store,21.06822204,105.8229518,Gourmet Store
Dong Anh,21.1547375,105.848701,Furbrew Beer Bar,21.06912308,105.8241534,Beer Bar
Dong Anh,21.1547375,105.848701,Vietnam Airlines Business Class Lounge,21.21803375,105.7935768,Airport Lounge
Dong Anh,21.1547375,105.848701,NIA Business Lounge,21.21853907,105.7915977,Airport Lounge
Dong Anh,21.1547375,105.848701,Joma Bakery Café,21.06861882,105.8239717,Café
Dong Anh,21.1547375,105.848701,Phương Nguyên Restaurant,21.07081301,105.8223789,Vietnamese Restaurant
Dong Anh,21.1547375,105.848701,Viet Village Hotel,21.20438,105.83098,Hotel
Dong Anh,21.1547375,105.848701,Duty Free - Liquor/Tobacco @ Departure,21.21756028,105.7922689,Liquor Store
Dong Anh,21.1547375,105.848701,Ga Đông Anh,21.15351679,105.8515763,Rail Station
Dong Anh,21.1547375,105.848701,ほたる食堂 Quan com HOTARU,21.12388905,105.778772,Japanese Restaurant
Dong Anh,21.1547375,105.848701,Mimoza Cafe,21.14029376,105.8475812,Café
Dong Anh,21.1547375,105.848701,Mê Linh Plaza,21.18686512,105.7816805,Shopping Mall
Dong Anh,21.1547375,105.848701,Lucky Restaurant,21.21808783,105.7924227,Vietnamese Restaurant
Dong Anh,21.1547375,105.848701,Big Bowl,21.21508421,105.8042241,Noodle Restaurant
Dong Anh,21.1547375,105.848701,Ngọc Sương - Phố Hàng Ăn,21.21428841,105.8034052,Vietnamese Restaurant
Dong Anh,21.1547375,105.848701,Vietnam Airline Check-in counter,21.2140938,105.8037958,Airport Service
Dong Anh,21.1547375,105.848701,Popeyes Louisiana Kitchen,21.21763492,105.7943543,Fried Chicken Joint
Dong Anh,21.1547375,105.848701,Airport View Hotel,21.21945902,105.7822363,Hotel
Dong Anh,21.1547375,105.848701,NCS (Noibai Cargo Terminal),21.21270761,105.8065245,Airport Terminal
Dong Anh,21.1547375,105.848701,Big C,21.18665799,105.7805399,Supermarket
Dong Anh,21.1547375,105.848701,HOTAL SHOKUDOU,21.12369622,105.7800579,Japanese Restaurant
Dong Anh,21.1547375,105.848701,Vietnam Airlines Lotus Lounge,21.214869,105.804465,Airport Lounge
Dong Anh,21.1547375,105.848701,Noibai Airport Mini Bus Station,21.21400005,105.8023739,Bus Station
Dong Anh,21.1547375,105.848701,Two Tigers,21.21878358,105.790392,Vietnamese Restaurant
Dong Da,21.0146852,105.8235426,Nhất Ly,21.01045729,105.825109,Hotpot Restaurant
Dong Da,21.0146852,105.8235426,Pizza 4Ps Lotte Hanoi,21.032145,105.813378,Pizzeria
Dong Da,21.0146852,105.8235426,Pizza 4P,21.034181,105.812777,Pizzeria
